entity_id,site_id,entity_name,entity_status,corresponding_current,persist_id,depth_ref,geology,rock_age,wokam,vegetation_type,land_use,copernicus_lcc,cover_type,cover_thickness,host_rock_trace_elements,drip_water_trace_elements,distance_entrance,speleothem_type,drip_type,drip_height,d13C,d18O,iso_std,d18O_water_equilibrium,d18O_dripwater_carbonate_difference,organics,fluid_inclusions,mineralogy_petrology_fabric,clumped_isotopes,noble_gas_temperatures,C14,ODL,Sr_Ca,Sr_Ca_method,Sr_Ca_std,Sr_Ca_downsampled,Sr_Ca_downsampling_method,Mg_Ca,Mg_Ca_method,Mg_Ca_std,Mg_Ca_downsampled,Mg_Ca_downsampling_method,Ba_Ca,Ba_Ca_method,Ba_Ca_std,Ba_Ca_downsampled,Ba_Ca_downsampling_method,U_Ca,U_Ca_method,U_Ca_std,U_Ca_downsampled,U_Ca_downsampling_method,P_Ca,P_Ca_method,P_Ca_std,P_Ca_downsampled,P_Ca_downsampling_method,Sr_isotopes,Sr_isotopes_method,Sr_isotopes_std,trace_elements_datafile,trace_elements_metadatafile,cave_map,entity_scan,added_in_release_id,last_modified_release_id,data_DOI_URL
41,6,MSL,current partially modified,706,6-MSL,from top,unknown,unknown,,unknown,unknown,cultivated and managed vegetation / agriculture,unknown,,,,35.0,stalagmite,unknown,,no,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/5426
42,6,PD,current,,6-PD,from top,unknown,unknown,,unknown,unknown,cultivated and managed vegetation / agriculture,unknown,,,,35.0,stalagmite,unknown,,no,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/5426
43,6,YT,current,,6-YT,from top,unknown,unknown,,unknown,unknown,cultivated and managed vegetation / agriculture,unknown,,,,35.0,stalagmite,unknown,,no,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/5426
44,6,H82,current,,6-H82,from top,unknown,unknown,,unknown,unknown,cultivated and managed vegetation / agriculture,unknown,,,,35.0,stalagmite,unknown,,no,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/5426
45,7,T5,current,,7-T5,from top,dolomite,Precambrian,,trees and grass,unknown,herbaceous vegetation,patchy,22.5,no,no,100.0,stalagmite,unknown,,yes,yes,PDB,yes,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
46,7,T7_1999,superseded,49,7-T7,from top,dolomite,Precambrian,,trees and grass,unknown,herbaceous vegetation,patchy,22.5,no,no,100.0,stalagmite,unknown,,yes,yes,PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/5420
47,7,T7_2001,superseded,49,7-T7,from top,dolomite,Precambrian,,trees and grass,unknown,herbaceous vegetation,patchy,22.5,no,no,100.0,stalagmite,unknown,,yes,yes,PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/5420
48,7,T8,current,,7-T8,from top,dolomite,Precambrian,,trees and grass,unknown,herbaceous vegetation,patchy,22.5,no,no,100.0,stalagmite,unknown,,yes,yes,PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/5432
49,7,T7_2013,current,,7-T7,from top,dolomite,Precambrian,,trees and grass,unknown,herbaceous vegetation,patchy,22.5,no,no,100.0,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/14349
50,8,LH-70s-1,current,,8-LH70S1,from top,limestone,Carboniferous,continuous carbonate,moorland,limited or no use,herbaceous vegetation,unknown,50.0,unknown,unknown,250.0,stalagmite,unknown,,yes,yes,PDB,unknown,,no,yes,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
51,8,LH-70s-2,current,,8-LH70S2,from top,limestone,Carboniferous,continuous carbonate,moorland,limited or no use,herbaceous vegetation,unknown,50.0,unknown,unknown,250.0,stalagmite,unknown,,yes,yes,PDB,unknown,,no,yes,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
