sample_id,d13C_measurement,d13C_precision
5493,-6.9,0.06
5494,-6.78,0.06
5495,-6.7,0.06
5496,-6.73,0.06
5497,-6.51,0.06
5498,-5.8,0.06
5499,-5.38,0.06
5500,-5.44,0.06
5501,-5.19,0.06
5502,-4.79,0.06
5503,-4.83,0.06
5504,-4.48,0.06
5505,-4.48,0.06
5506,-4.49,0.06
5507,-4.48,0.06
5508,-4.52,0.06
5509,-4.54,0.06
5510,-4.5,0.06
5511,-4.46,0.06
5512,-4.33,0.06
5513,-4.3,0.06
5514,-4.28,0.06
5515,-4.34,0.06
5516,-4.25,0.06
5517,-4.3,0.06
5518,-4.19,0.06
5519,-4.02,0.06
5520,-4.1,0.06
5521,-4.03,0.06
5522,-3.97,0.06
5523,-3.99,0.06
5524,-3.94,0.06
5525,-3.88,0.06
5526,-4.05,0.06
5527,-3.97,0.06
5528,-3.92,0.06
5529,-3.91,0.06
5530,-4.42,0.06
5531,-4.19,0.06
5532,-4.6,0.06
5533,-4.71,0.06
5534,-4.66,0.06
5535,-5.01,0.06
5536,-5.4,0.06
5537,-5.56,0.06
5538,-6.04,0.06
5539,-6.17,0.06
5540,-6.55,0.06
5541,-6.84,0.06
5542,-6.81,0.06
5543,-7.16,0.06
5544,-7.27,0.06
5545,-7.52,0.06
5546,-7.45,0.06
5547,-7.55,0.06
5548,-7.63,0.06
5549,-7.7,0.06
5550,-7.82,0.06
5551,-7.94,0.06
5552,-7.87,0.06
5553,-8.08,0.06
5554,-8.13,0.06
5555,-8.1,0.06
5556,-8.19,0.06
5557,-8.26,0.06
5558,-8.27,0.06
5559,-8.41,0.06
5560,-8.46,0.06
5561,-8.35,0.06
5562,-8.53,0.06
5563,-8.65,0.06
5564,-8.6,0.06
5565,-8.52,0.06
5566,-8.63,0.06
5567,-8.54,0.06
5568,-8.43,0.06
5569,-8.48,0.06
5570,-8.28,0.06
5571,-8.49,0.06
5572,-8.12,0.06
5573,-7.87,0.06
5574,-7.85,0.06
5575,-7.67,0.06
5576,-7.49,0.06
5577,-7.45,0.06
5578,-7.5,0.06
5579,-7.38,0.06
5580,-7.35,0.06
5581,-7.36,0.06
5582,-7.32,0.06
5583,-7.34,0.06
5584,-7.21,0.06
5585,-7.19,0.06
5586,-7.27,0.06
5587,-7.21,0.06
5588,-7.12,0.06
5589,-7.13,0.06
5590,-7.1,0.06
5591,-6.93,0.06
5592,-6.99,0.06
5593,-6.82,0.06
5594,-6.79,0.06
5595,-6.89,0.06
5596,-6.93,0.06
5597,-7.23,0.06
5598,-7.34,0.06
5599,-7.26,0.06
5600,-7.36,0.06
5601,-7.17,0.06
5602,-7.23,0.06
5603,-6.96,0.06
5604,-6.67,0.06
5605,-6.55,0.06
5606,-6.62,0.06
5607,-6.49,0.06
5608,-6.36,0.06
5609,-6.46,0.06
5610,-6.45,0.06
5611,-6.82,0.06
5612,-7.1,0.06
5613,-7.19,0.06
5614,-7.5,0.06
5615,-7.58,0.06
5616,-7.67,0.06
5617,-7.59,0.06
5618,-7.81,0.06
5619,-7.75,0.06
5620,-7.43,0.06
5621,-6.89,0.06
5622,-6.64,0.06
5623,-6.68,0.06
5624,-6.71,0.06
5625,-6.81,0.06
5626,-6.73,0.06
5627,-7.03,0.06
5628,-7.17,0.06
5629,-7.25,0.06
5630,-7.13,0.06
5631,-6.86,0.06
