sample_id,d13C_measurement,d13C_precision
5632,-6.56,0.06
5633,-6.48,0.06
5634,-6.39,0.06
5635,-6.28,0.06
5636,-6.44,0.06
5637,-6.34,0.06
5638,-6.22,0.06
5639,-6.45,0.06
5640,-6.29,0.06
5641,-6.14,0.06
5642,-6.1,0.06
5643,-6.22,0.06
5644,-6.29,0.06
5645,-6.26,0.06
5646,-6.32,0.06
5647,-6.24,0.06
5648,-6.17,0.06
5649,-6.12,0.06
5650,-6.11,0.06
5651,-4.79,0.06
5653,-3.39,0.06
5654,-3.15,0.06
5655,-3.37,0.06
5656,-3.55,0.06
5657,-3.67,0.06
5658,-3.81,0.06
5659,-3.78,0.06
5660,-3.73,0.06
5661,-3.64,0.06
5662,-3.6,0.06
5663,-3.46,0.06
5664,-3.2,0.06
5665,-2.71,0.06
5666,-2.3,0.06
5667,-3.02,0.06
5668,-3.69,0.06
5669,-3.96,0.06
5670,-4.51,0.06
5671,-5.01,0.06
5672,-5.18,0.06
5673,-5.25,0.06
5674,-5.3,0.06
5675,-5.36,0.06
5676,-5.26,0.06
5677,-5.39,0.06
5678,-4.45,0.06
5679,-3.88,0.06
5680,-3.86,0.06
5681,-3.71,0.06
5682,-4.43,0.06
5683,-4.5,0.06
5684,-4.8,0.06
5685,-4.91,0.06
5686,-4.78,0.06
5687,-4.91,0.06
5688,-4.68,0.06
5689,-4.65,0.06
5690,-4.74,0.06
5691,-4.77,0.06
5692,-4.69,0.06
5693,-4.73,0.06
5694,-4.59,0.06
5695,-4.5,0.06
5696,-4.65,0.06
5697,-5.02,0.06
5698,-4.98,0.06
5699,-5.44,0.06
5700,-5.78,0.06
5701,-5.76,0.06
5702,-5.8,0.06
5703,-5.61,0.06
5704,-5.43,0.06
5705,-5.31,0.06
5706,-5.31,0.06
5707,-5.3,0.06
5708,-5.17,0.06
5709,-5.19,0.06
5710,-5.34,0.06
5711,-5.39,0.06
5712,-4.98,0.06
5713,-4.57,0.06
5714,-4.35,0.06
5715,-4.31,0.06
