dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,14C_correction,calib_used,date_used,238U_content,238U_uncertainty,232Th_content,232Th_uncertainty,230Th_content,230Th_uncertainty,230Th_232Th_ratio,230Th_232Th_ratio_uncertainty,230Th_238U_activity,230Th_238U_activity_uncertainty,234U_238U_activity,234U_238U_activity_uncertainty,ini_230Th_232Th_ratio,ini_230Th_232Th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_Bchron,date_used_Bacon,date_used_OxCal,date_used_copRa,date_used_StalAge
11316,636,MC-ICP-MS U/Th,187.0,,,calcite,50.0,150.0,37280.0,420.0,420.0,,,yes,40.0,,456.0,,,,105.96,9.124,0.3952,0.004,1.37592233,1.5534e-05,0.825,0.825,Cheng et al. 2000,37040.0,480.0,480.0,yes,yes,yes,yes,,yes,yes
11317,636,MC-ICP-MS U/Th,724.0,,,calcite,50.0,150.0,33350.0,290.0,290.0,,,yes,40.4,,390.0,,,,113.37,10.872,0.3584,0.003,1.369029126,1.84466e-05,0.825,0.825,Cheng et al. 2000,33140.0,360.0,360.0,yes,yes,yes,yes,,yes,yes
11318,636,MC-ICP-MS U/Th,339.0,,,calcite,50.0,150.0,35230.0,150.0,150.0,,,yes,69.7,,2338.0,,,,34.38,0.396,0.3771,0.001,1.375339806,1.65049e-05,0.825,0.825,Cheng et al. 2000,34520.0,720.0,720.0,yes,yes,yes,yes,,yes,yes
11319,637,MC-ICP-MS U/Th,341.0,,,calcite,100.0,200.0,8295.0,126.0,126.0,,,unknown,75.2,,1829.0,,,,69.8,1.4,0.1029,0.0015,5.108,1.019,0.816,0.816,Cheng et al. 2013,8021.0,186.0,186.0,,no,no,,yes,,
11320,637,MC-ICP-MS U/Th,292.0,,,calcite,100.0,200.0,8064.0,50.0,50.0,,,unknown,157.2,,365.0,,,,761.0,47.0,0.107,0.0006,6.083,1.012,0.816,0.816,Cheng et al. 2013,8019.0,67.0,67.0,,no,no,,yes,,
11321,637,MC-ICP-MS U/Th,261.0,,,calcite,100.0,200.0,10995.0,85.0,85.0,,,yes,1354.5,,43786.0,,,,70.3,0.6,0.1376,0.001,5.428,1.014,0.816,0.816,Cheng et al. 2013,10341.0,659.0,659.0,,yes,yes,,yes,,
11322,637,MC-ICP-MS U/Th,249.0,,,calcite,100.0,200.0,11777.0,54.0,54.0,,,yes,405.5,,10519.0,,,,92.9,0.5,0.146,0.0006,5.348,1.011,0.816,0.816,Cheng et al. 2013,11249.0,530.0,530.0,,yes,yes,,yes,,
11323,637,MC-ICP-MS U/Th,243.0,,,calcite,100.0,200.0,14880.0,234.0,234.0,,,yes,67.6,,430.0,,,,435.7,52.7,0.1679,0.0025,4.245,1.028,0.816,0.816,Cheng et al. 2013,14741.0,273.0,273.0,,yes,yes,,yes,,
11324,637,Event; hiatus,242.5,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,,
11325,637,MC-ICP-MS U/Th,231.0,,,calcite,100.0,200.0,15322.0,180.0,180.0,,,yes,61.1,,154.0,,,,1106.3,204.4,0.1694,0.0018,4.002,1.023,0.816,0.816,Cheng et al. 2013,15265.0,189.0,189.0,,yes,yes,,yes,,
11326,637,MC-ICP-MS U/Th,221.0,,,calcite,100.0,200.0,15843.0,156.0,156.0,,,yes,84.0,,246.0,,,,1001.5,123.7,0.178,0.0016,4.25,1.02,0.816,0.816,Cheng et al. 2013,15779.0,169.0,169.0,,yes,yes,,yes,,
11327,637,MC-ICP-MS U/Th,216.0,,,calcite,100.0,200.0,16321.0,182.0,182.0,,,yes,85.1,,322.0,,,,830.0,72.5,0.1903,0.0019,4.799,1.029,0.816,0.816,Cheng et al. 2013,16241.0,198.0,198.0,,yes,yes,,yes,,
11328,637,MC-ICP-MS U/Th,188.0,,,calcite,100.0,200.0,16649.0,246.0,246.0,,,yes,48.2,,259.0,,,,585.2,86.5,0.1901,0.0026,4.524,1.028,0.816,0.816,Cheng et al. 2013,16533.0,272.0,272.0,,yes,yes,,yes,,
11329,637,MC-ICP-MS U/Th,166.0,,,calcite,100.0,200.0,21400.0,128.0,128.0,,,no,123.7,,294.0,,,,1655.0,121.0,0.239,0.0013,4.54,1.012,0.816,0.816,Cheng et al. 2013,21349.0,138.0,138.0,,no,no,,no,,
11330,637,MC-ICP-MS U/Th,117.0,,,calcite,100.0,200.0,19992.0,100.0,100.0,,,no,620.7,,405.0,,,,5714.2,288.0,0.2261,0.001,4.616,1.012,0.816,0.816,Cheng et al. 2013,19978.0,101.0,101.0,,no,no,,no,,
